count,channel_1,channel_2,channel_3,channel_4,acc_x,acc_y,acc_z,resistance_1,resistance_2,resistance_3,resistance_4,resistance_5,timestamp,marker,class
181.0,-906.15158,-328.413705,-850.083,-234.308472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.103652,0.0,eyes_blink
181.0,-956.374696,-322.61312,-847.902638,-249.597183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.103671,0.0,eyes_blink
182.0,-936.093219,-309.216798,-841.406432,-251.773805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.133207,0.0,eyes_blink
182.0,-908.997644,-315.982277,-851.57522,-246.33225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.133225,0.0,eyes_blink
183.0,-945.495327,-341.353759,-878.696974,-253.939207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.13353,0.0,eyes_blink
183.0,-944.227501,-316.27025,-843.444677,-244.701654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.133544,0.0,eyes_blink
184.0,-930.281414,-300.416814,-835.564708,-245.681508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.133743,0.0,eyes_blink
184.0,-916.25305,-312.754744,-851.859452,-245.546871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.133756,0.0,eyes_blink
185.0,-925.086693,-331.607579,-865.626024,-243.014959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.162998,0.0,eyes_blink
185.0,-923.34764,-307.410427,-836.391226,-241.720954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.16302,0.0,eyes_blink
186.0,-934.877752,-306.954159,-840.942684,-248.508872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.163248,0.0,eyes_blink
186.0,-929.017328,-321.801562,-860.016174,-253.180007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.163269,0.0,eyes_blink
187.0,-908.990164,-330.870819,-859.776821,-242.210881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.193033,0.0,eyes_blink
187.0,-926.664931,-312.283516,-832.673766,-244.10701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.193052,0.0,eyes_blink
188.0,-913.878213,-307.956452,-835.381453,-254.417914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.19329,0.0,eyes_blink
188.0,-919.155212,-312.257337,-841.915058,-250.315244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.193314,0.0,eyes_blink
189.0,-926.773388,-334.93235,-865.611064,-246.556644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.193805,0.0,eyes_blink
189.0,-944.687509,-319.000377,-839.401846,-246.642662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.193828,0.0,eyes_blink
190.0,-912.14664,-314.3816,-839.330787,-256.06347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.194414,0.0,eyes_blink
190.0,-928.837813,-327.949957,-858.441676,-264.934513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.194436,0.0,eyes_blink
191.0,-941.572172,-352.450042,-873.438675,-262.447479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.223021,0.0,eyes_blink
191.0,-938.718629,-331.334567,-844.121599,-254.010265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.223044,0.0,eyes_blink
