0.000000,-859.679583,-170.350573,-719.560491,-115.979907,0.000000.1,0.000000.2,0.000000.3,0.000000.4,0.000000.5,0.000000.6,0.000000.7,0.000000.8,1704023132.520409,0.000000.9,-875.491880,-204.866110,-747.078675,-137.888241,1704023231.460497,class
140.0,-845.049094,-170.215937,-709.862931,-112.16147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.924915,0.0,,,,,,eyes_closed_movement
141.0,-833.388086,-174.273728,-715.846771,-99.195236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.94035,0.0,,,,,,eyes_closed_movement
141.0,-842.764016,-157.358161,-690.280815,-96.756822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.940359,0.0,,,,,,eyes_closed_movement
142.0,-831.75001,-152.204578,-690.127479,-104.188003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.940613,0.0,,,,,,eyes_closed_movement
142.0,-794.870857,-157.055229,-696.668564,-92.029588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.940621,0.0,,,,,,eyes_closed_movement
143.0,-820.223639,-171.835313,-713.430795,-98.548234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.95539,0.0,,,,,,eyes_closed_movement
143.0,-863.367124,-166.232943,-697.510041,-96.192097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.955399,0.0,,,,,,eyes_closed_movement
144.0,-850.430811,-153.63322,-693.463469,-101.110065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.970245,0.0,,,,,,eyes_closed_movement
144.0,-836.290249,-165.036175,-707.974281,-105.504448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.970258,0.0,,,,,,eyes_closed_movement
145.0,-838.825901,-171.360346,-716.695728,-96.042501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.970478,0.0,,,,,,eyes_closed_movement
